,도로명,위도,경도
0,"영통구 광교중앙로 145, 1층 3~4호 (이의동, 광교엘포트아이파크)",37.2870278,127.0577371
1,"영통구 센트럴타운로 111, 101호 (이의동, 광교스타힐스 오피스텔)",37.2925601,127.0491306
2,"영통구 에듀타운로 101 (이의동, 에듀하임1309오피스텔)",37.2893009,127.0452417
3,영통구 창룡대로 442 (이의동),37.2964879,127.0564889
4,"영통구 도청로 95 (이의동, 유니코어)",37.2909056,127.0477286
5,"영통구 웰빙타운로 19, 대림이편한단지상가 (이의동, 광교한양수자인)",37.3049065,127.0488953
6,"영통구 대학로 12, 1층 (이의동)",37.2977055,127.0422025
7,영통구 대학1로8번길 109 (이의동),37.2989573,127.0469053
8,"영통구 광교로 156, 108호 (이의동)",37.2938317,127.0494386
9,"영통구 창룡대로 260, 104호 (이의동, 광교 센트럴비즈타워)",37.2955408,127.0376141
10,"영통구 센트럴타운로 85, 203동 1층 A114호 (이의동, 광교C1 호반베르디움, Summit Place광교)",37.2907368,127.0504529
11,"영통구 에듀타운로 24, 104호 (이의동, 그린메디칼)",37.2852309,127.0523176
12,"영통구 웰빙타운로49번길 36, 102호 (이의동)",37.3039667,127.0471593
13,영통구 대학3로4번길 12 (이의동),37.2999374,127.0434998
14,영통구 센트럴파크로127번길 122 (이의동),37.2936789,127.0541069
15,영통구 대학1로8번길 51 (이의동),37.2983750,127.0442883
16,영통구 대학1로8번길 51 (이의동),37.2983750,127.0442883
17,"영통구 대학3로4번길 50 (이의동, 광교 장안프라임 오피스텔)",37.3009037,127.0424662
18,"영통구 도청로18번길 26, 1층 136호 (이의동, 힐스테이트광교중앙역)",37.2875826,127.0568585
19,"영통구 도청로 65, 지하2층 117호(이의동) (이의동, 자연앤 힐스테이트)",37.2879340,127.0504670
20,"영통구 센트럴타운로 76, 2동 103호 (이의동, e편한세상 광교)",37.2920183,127.0541977
21,영통구 대학3로4번길 15 (이의동),37.3003053,127.0431970
22,"영통구 광교로 114 (이의동, 광교데시앙루브)",37.2906069,127.0458146
23,"영통구 대학로 34, 111호 (이의동)",37.2992617,127.0436433
24,"영통구 창룡대로 250 (이의동, 수원광교 따복하우스)",37.2947375,127.0367648
25,"영통구 센트럴파크로 60, 107~108호 (이의동, 래미안 광교)",37.2913984,127.0612479
26,영통구 센트럴타운로 114 (이의동),37.2930077,127.0495558
27,"영통구 도청로 10 (이의동, 광교센트럴푸르지오시티)",37.2866697,127.0554484
28,"영통구 센트럴타운로 15, 124호 (이의동, 아이플렉스)",37.2881582,127.0573971
29,"영통구 센트럴파크로127번길 83, 1층 (이의동)",37.2940719,127.0522599
30,"영통구 웰빙타운로 70 (이의동, 광교 호반베르디움)",37.3072959,127.0437729
31,"영통구 대학4로 17, 104호  에이스광교타워 (이의동)",37.3001653,127.0467106
32,"영통구 도청로10, 1층",37.2866697,127.0554484
33,영통구 웰빙타운로49번길 32 (이의동),37.3041292,127.0468930
34,영통구 대학1로8번길71,37.2979974,127.0452277
35,영통구 대학3로 1 (이의동),37.2992353,127.0426790
36,"영통구 센트럴타운로 85 (이의동, 광교c1호반베르디움)",37.2907368,127.0504529
37,영통구 대학1로50번길 12 ,37.2994387,127.0446044
38,"영통구 에듀타운로 108 (이의동, 광교 경동 해피리움)",37.2903253,127.0454583
39,영통구 대학로 6 (이의동),37.2971522,127.0416579
40,영통구 광교로42번길 80 (이의동),37.2863158,127.0443050
41,영통구 대학3로4번길 2,37.2995801,127.0431220
42,"영통구 에듀타운로 35, 상가2동 103호 (이의동, 자연앤자이)",37.2853906,127.0506605
43,"영통구 대학로 48, A-103 (이의동)",37.3002055,127.0445497
44,"창룡대로256번길91, 에이스광교타워2차 1층109호",37.2957605,127.0416666
45,"영통구 센트럴타운로 107, B12호 (이의동, 광교푸르지오 월드마크)",37.2920270,127.0483378
46,"영통구 센트럴타운로 107, 1층21호 (이의동, 광교푸르지오 월드마크)",37.2920270,127.0483378
47,"영통구 웰빙타운로56번길 76 (이의동, e편한세상 TERRACE 광교 West hill)",37.3096220,127.0448504
48,"영통구 도청로 10 (이의동, 광교센트럴푸르지오시티)",37.2866697,127.0554484
49,"영통구 도청로89번길 43, 1동 103호 (이의동, 에듀프라자)",37.2891442,127.0472297
50,"영통구 광교산로154-42, 드림타워1층",37.3005585,127.0347399
51,"영통구 대학4로 32, 1층 102호 (이의동)",37.2990830,127.0475449
52,영통구 웰빙타운로 43,37.3051145,127.0465116
53,영통구 광교로 191 (이의동),37.2963486,127.0469684
54,"영통구 에듀타운로 101, 108동 B104호 (이의동, 에듀하임1309오피스텔)",37.2893009,127.0452417
55,"영통구 광교로 286, 101호 (이의동, 광교 해모로 아파트)",37.3069390,127.0524545
56,"영통구 대학3로 7, 103호 (이의동)",37.2998203,127.0421299
57,영통구 센트럴파크로128번길 7 (이의동),37.2954768,127.0564161
58,"영통구 창룡대로256번길 77, B114, B115 (이의동, 에이스 광교타워3)",37.2961352,127.0408421
59,"영통구 센트럴타운로 94 (이의동, 앤에스코어빌딩)",37.2919668,127.0509055
60,"영통구 센트럴타운로 107 (이의동, 광교푸르지오 월드마크)",37.2920270,127.0483378
61,"영통구 대학로 98, 8116동106호 (이의동, 광교 호반베르디움 트라엘)",37.3033219,127.0499171
62,"영통구 에듀타운로 84, 105~109호 (이의동, 세븐스퀘어)",37.2887938,127.0473824
63,"영통구 센트럴타운로 15 (이의동, 아이플렉스)",37.2881582,127.0573971
64,영통구 혜령로 8 (이의동),37.2842712,127.0521608
65,영통구 대학2로 55 상가동 103호,,
66,영통구 웰빙타운로49번길 36 (이의동),37.3039667,127.0471593
67,영통구 센트럴파크로127번길 141 (이의동),37.2944438,127.0551024
68,"영통구 에듀타운로106번길46, 118호",37.2904996,127.0470010
69,"영통구 센트럴타운로22번길 36 (이의동, 광교센트럴타운60단지)",37.2892698,127.0590186
70,영통구 센트럴파크로127번길 170 (이의동),37.2947795,127.0560428
71,"영통구 도청로 65, 에듀문상가 현대마트 (이의동, 자연앤 힐스테이트)",37.2879340,127.0504670
72,영통구 광교중앙로266번길 20 (하동),37.2928287,127.0686624
73,"영통구 광교중앙로170, B층117~119",37.2881246,127.0607027
74,용인시 기흥구 용구대로2426,37.3029531,127.1065797
75,영통구 광교호수공원로 320 (하동),37.2847383,127.0574831
76,"영통구 광교중앙로 170, 123호",37.2881246,127.0607027
77,"영통구 광교호수공원로 300 (하동, 포레나 광교)",37.2841872,127.0580985
78,"영통구 광교중앙로 247, 상가동1층105 (하동, 휴먼시아아파트)",37.2940221,127.0656449
79,"영통구 법조로 38,  1층 107호 (하동, 광교 더샵 레이크파크)",37.2870073,127.0625015
80,영통구 법조로149번길 150 (하동),37.2917925,127.0698736
81,"영통구 법조로149번길 101,  1층 (하동)",37.2938931,127.0689520
82,"영통구 광교중앙로248번길 7-2 (하동, 원희캐슬 광교)",37.2910333,127.0666707
83,"영통구 광교마을로156, 101호",37.2953851,127.0836087
84,"영통구 광교호수공원로 300, 1층149호 (하동, 포레나 광교)",37.2841872,127.0580985
85,"영통구 센트럴파크로34, 103호",37.2891577,127.0635925
86,영통구 법조로149번길 127 (하동),37.2928044,127.0694737
87,"영통구 법조로 134,  참누리레이크상가 (하동, 광교호수마을참누리레이크)",37.2912048,127.0728542
88,"영통구 센트럴파크로 6 (하동, 힐스테이트 광교)",37.2856370,127.0644347
89,"영통구 광교중앙로266번길 30, 그랜드프라자124호 (하동)",37.2923113,127.0687153
90,"영통구 광교호수로 84 (하동, 휴먼시아아파트)",37.2754744,127.0673734
91,영통구 법조로149번길 265 (하동),37.2931011,127.0699543
92,경기 용인시 수지구 광교마을로 33 (상현동),37.2992620,127.0685323
93,"영통구 광교중앙로 247 (하동, 휴먼시아아파트)",37.2940221,127.0656449
94,"영통구 법조로 38, 판매시설동지하1층B30호 (하동, 광교 더샵 레이크파크)",37.2870073,127.0625015
95,영통구 광교호수로 101 (하동),37.2774661,127.0667277
96,"영통구 법조로25, 1층147호",37.2874971,127.0602549
97,"영통구 광교중앙로248번길 95-1, 제1층 107호 (하동)",37.2915326,127.0683641
98,"영통구 광교호수공원로 300, 106호 (하동, 포레나 광교)",37.2841872,127.0580985
99,"영통구 센트럴파크로 33, 힐스테이트 상가 107호 (하동, 광교힐스테이트레이크)",37.2884884,127.0628241
100,"영통구 광교중앙로 140, 104호 (하동, 수원컨벤션센터)",37.2858287,127.0594469
101,영통구 법조로149번길8,37.2928146,127.0717709
102,"영통구 광교중앙로 140, 100호 (하동, 수원컨벤션센터)",37.2858287,127.0594469
103,"영통구 광교중앙로248번길7-2, C동109호",37.2910333,127.0666707
104,"영통구 센트럴파크로 6 (하동, 힐스테이트 광교)",37.2856370,127.0644347
105,경기 용인시 수지구 광교중앙로295번길 3 (상현동),37.2963143,127.0681667
106,"영통구 광교호수로152번길 23 (하동, 광교 LAKE PARK 한양수자인)",37.2809001,127.0714897
107,"영통구 법조로150번길 19,  상록아파트 상가 (하동, 호수마을광교상록아파트)",37.2931029,127.0737932
108,"영통구 대학로 103, 골드클레스 7상가 (이의동, 골드클래스)",37.3046356,127.0471776
109,"화성시 용주로, 21",37.2048563,127.0144820
110,화성시 영통로 26번길7,37.2337686,127.0648301
111,영통구 영통로90번길 12 (망포동),37.2376581,127.0598905
112,"영통구 영통로130번길 42 (망포동, 동해회수산)",37.2396740,127.0585032
113,영통구 영통로174번길 85 (망포동),37.2439326,127.0600857
114,영통구 영통로112번길 24 (망포동),37.2390692,127.0568862
115,영통구 영통로90번길 24 (망포동),37.2382749,127.0596663
116,"영통구 봉영로 1432-25 (망포동, 방죽마을영통뜨란채)",37.2411783,127.0653851
117,영통구 태장로 70 (망포동),37.2389474,127.0538328
118,영통구 영통로174번길 49 (망포동),37.2433733,127.0583284
119,영통구 영통로90번길 43 (망포동),37.2390131,127.0589723
120,영통구 영통로200번길 130 (망포동),37.2435882,127.0634843
121,영통구 영통로154번길 106 (망포동),37.2411984,127.0615777
122,"영통구 영통로200번길 112, 근린생활시설 101호 (망포동, 영통 SK VIEW)",37.2430121,127.0622303
123,"영통구 태장로82번길 32, 103 (망포동, 동수원자이1차)",37.2367490,127.0536468
124,"영통구 영통로90번길 4-27 , 101,102호 (망포동, 늘푸른 벽산아파트)",37.2399984,127.0610580
125,"영통구 영통로154번길 56 (망포동, 한양수자인 에듀파크)",37.2408131,127.0573279
126,"영통구 영통로 111, LG3차분산상가 (망포동, 엘지동수원자이아파트)",37.2368861,127.0562371
127,"영통구 영통로 103, 110호 (망포동, 뉴LG프라자)",37.2373951,127.0583022
128,영통구 영통로174번길64,37.2432328,127.0591381
129,"영통구 영통로90번길 4-27 (망포동, 늘푸른 벽산아파트)",37.2399984,127.0610580
130,영통구 영통로154번길 60 (망포동),37.2412947,127.0590114
131,"영통구 영통로 136, 센트럴타워1층 (망포동, 센트럴타워)",37.2396921,127.0561768
132,영통구 영통로90번길 4-16 (망포동),37.2377970,127.0608445
133,"영통구 태장로54번길 92,  진성프라자 106호1 (망포동, 진성프라자)",37.2350822,127.0515886
134,"영통구 영통로153번길 20,  (망포동 해피프라자) (망포동, 해피프라자)",37.2414814,127.0542026
135,"영통구 영통로153번길 98 (망포동, 국제프라자)",37.2414119,127.0499631
136,"영통구 덕영대로 1462-14 (망포동, 힐스테이트 영통 아파트)",37.2438383,127.0491010
137,영통구 덕영대로 1462-14  힐스테이트 영통 602동 105호,37.2438383,127.0491010
138,"영통구 덕영대로 1462-14, 602동 105호 (망포동, 힐스테이트 영통 아파트)",37.2438383,127.0491010
139,영통구 영통로173번길 19 (망포동),37.2428766,127.0539878
140,"영통구 태장로71번길 15,  LG 2차상가  (망포동, 망포마을동수원엘지빌리지)",37.2399993,127.0538316
141,"영통구 영통로 195,  골든스퀘어 B동 (망포동, 골든스퀘어)",37.2452099,127.0558468
142,영통구 태장로 6 (망포동),37.2380725,127.0466972
143,영통구 태장로54번길 64 (망포동),37.2363024,127.0518346
144,"영통구 태장로71번길 8, 1층 (망포동)",37.2398044,127.0543066
145,영통구 영통로173번길 23-28 (망포동),37.2421162,127.0529431
146,"영통구 영통로 195 (망포동, 골든스퀘어)",37.2452099,127.0558468
147,"영통구 영통로 136, 117호 (망포동, 센트럴타워)",37.2396921,127.0561768
148,"영통구 태장로7번길 38, 쌍용3차@상가 (망포동, 쌍용3차아파트)",37.2394517,127.0476025
149,영통구 동탄지성로 550-24 (망포동),37.2409407,127.0493582
150,"영통구 영통로 135 (망포동, 망포동 근린생활시설)",37.2396539,127.0555755
151,영통구 삼성로168번길 38,37.2586473,127.0586610
152,"영통구 매여울로57번길 2, 1층 (매탄동)",37.2731279,127.0442551
153,영통구 매여울로67번길 48 (매탄동),37.2745551,127.0426310
154,영통구 매여울로57번길 2 (매탄동),37.2731279,127.0442551
155,"영통구 매탄로108번길 48 (매탄동, 삼성프라자Ⅱ)",37.2596505,127.0453531
156,"영통구 권광로260번길 36, 상가3동 105~106호 (매탄동, 현대힐스테이트아파트)",37.2716966,127.0396241
157,"영통구 인계로 165, 주공5단지상가 (매탄동, 주공5단지아파트)",37.2674225,127.0372038
158,영통구 중부대로256번길 35 (매탄동),37.2730179,127.0432007
159,영통구 매여울로53번길 76-15 (매탄동),37.2736188,127.0408187
160,영통구 동탄원천로881번길 72 (매탄동),37.2561923,127.0429141
161,영통구 매여울로53번길 46-4 (매탄동),37.2725179,127.0424795
162,"영통구 중부대로246번길 10, 1층6..7  호 (매탄동)",37.2746555,127.0423756
163,"영통구 중부대로 278, 1층 (매탄동)",37.2738393,127.0460518
164,"영통구 인계로189번길 7, 주공5단지 종합상가101 (매탄동, 종합상가)",37.2662810,127.0380283
165,영통구 중부대로256번길 14 (매탄동),37.2740817,127.0434422
166,"영통구 중부대로246번길 47 (매탄동, 매탄빌딩)",37.2728984,127.0418856
167,영통구 매여울로68번길 2 (매탄동),37.2735520,127.0450380
168,영통구 매여울로53번길 77 (매탄동),37.2728771,127.0404726
169,영통구 중부대로 274 (매탄동),37.2739048,127.0457570
170,"영통구 인계로189번길 14, 주공4단지상가 (매탄동, 주공4단지아파트)",37.2679355,127.0409058
171,"영통구 권광로290번길 34-18 (매탄동, 우주타운)",37.2733108,127.0380541
172,영통구 중부대로246번길 51 (매탄동),37.2727144,127.0418158
173,"영통구 인계로189번길 46, 나동 101호 (매탄동, 종합상가)",37.2678954,127.0395059
174,"영통구 중부대로 254, 1층 (매탄동)",37.2745205,127.0435641
175,영통구 동수원로514번길 53 (매탄동),37.2715709,127.0490822
176,"영통구 동수원로 498 (매탄동, 유당빌딩)",37.2720216,127.0452220
177,영통구 매봉로35번길 51 (매탄동),37.2718300,127.0500478
178,"영통구 권광로260번길 36, 현대힐스테이트 아파트 상가 1층 106, 107호 (매탄동, 현대힐스테이트아파트)",37.2716966,127.0396241
179,영통구 매봉로 51 (매탄동),37.2725567,127.0532067
180,영통구 매여울로40번길 20-1 (매탄동),37.2720515,127.0463813
181,영통구 매봉로35번길 25 (매탄동),37.2714425,127.0513867
