,도로명,위도,경도
0,"팔달구 고화로100, 가동101호 성원타운",37.2783262,127.0067649
1,팔달구 고화로31번길 3 (고등동),37.2720306,127.0068261
2,팔달구 갓매산로 88 (고등동),37.2703714,127.0012924
3,팔달구 고등로59번길 17 (고등동),37.2741178,127.0034924
4,"팔달구 갓매산로76번길 10, 1층101,102 (고등동)",37.2705167,127.0028605
5,팔달구 고매로19번길 4 (고등동),37.2714266,127.0049608
6,팔달구 고화로61번길 1 (고등동),37.2747636,127.0061077
7,"팔달구 고매로 1, 102호 (고등동)",37.2699702,127.0041384
8,팔달구 고화로62번길 1 (고등동),37.2748976,127.0064191
9,팔달구 고화로13번길 2 (고등동),37.2707744,127.0075730
10,팔달구 고화로108번길 1 (고등동),37.2789423,127.0068473
11,팔달구 고등로71번길 1 (고등동),37.2735118,127.0047883
12,팔달구 고등로 49 (고등동),37.2733417,127.0025669
13,팔달구 고등로 79 (고등동),37.2736102,127.0059260
14,팔달구 고등로59번길 2 (고등동),37.2734422,127.0038068
15,팔달구 고매로 31 (고등동),37.2723243,127.0054072
16,"팔달구 고화로39번길 73, (구남양할인) (고등동)",37.2697494,127.0051145
17,팔달구 팔달로48번길 22 (고등동),37.2720711,127.0017709
18,팔달구 갓매산로76번길 2 (고등동),37.2700799,127.0027392
19,팔달구 고매로20번길 3 (고등동),37.2713325,127.0053138
20,팔달구 갓매산로76번길 9 (고등동),37.2704433,127.0023488
21,팔달구 고매로39번길 12 (고등동),37.2730055,127.0050757
22,"팔달구 고화로 50, 1층 (고등동)",37.2737542,127.0062870
23,팔달구 고화로61번길 19 (고등동),37.2747441,127.0050541
24,"팔달구 팔달로52번길 42 (고등동, 해가든다원)",37.2749046,127.0032967
25,팔달구 고화로42,37.2730945,127.0065187
26,팔달구 고매로 1 (고등동),37.2699702,127.0041384
27,팔달구 고화로61번길 22-19 (고등동),37.2757043,127.0050610
28,팔달구 동말로106번길 6 (고등동),37.2784139,127.0058756
29,팔달구 고화로61번길 9-1 (고등동),37.2747634,127.0057140
30,팔달구 고화로72번길 2 (고등동),37.2756454,127.0064924
31,"팔달구 고매로 10 (고등동, 원일연립)",37.2704391,127.0049084
32,팔달구 고화로 57 (고등동),37.2745233,127.0060716
33,"팔달구 정조로715번길 67 (매교동, 원영빌딩)",37.2691188,127.0147764
34,팔달구 행궁로 94-4 (교동),37.2742676,127.0154994
35,팔달구 정조로623번길 23 (매교동),37.2648109,127.0138363
36,팔달구 매산로116번길 70 (매교동),37.2683381,127.0149605
37,팔달구 매산로 136 (교동),37.2719635,127.0154261
38,"팔달구 향교로 146, 1층 (교동)",37.2736307,127.0154210
39,팔달구 향교로 127 (교동),37.2724766,127.0142459
40,팔달구 정조로715번길 28 (매교동),37.2708111,127.0158128
41,"팔달구 매산로130번길 15, 건영캐스빌 101호 (매교동, 건영캐스빌아파트)",37.2714127,127.0155928
42,팔달구 매산로 128 (교동),37.2717437,127.0147535
43,팔달구 매산로116번길 32 (매교동),37.2698425,127.0139938
44,팔달구 정조로 675 (매교동),37.2686889,127.0169262
45,"팔달구 매산로104번길 10 (교동, 풍림아이원아파트)",37.2701610,127.0124340
46,팔달구 매산로116번길 76 (매교동),37.2681132,127.0153280
47,팔달구 정조로715번길 52 (매교동),37.2698474,127.0151938
48,팔달구 매산로 93-8 (교동),37.2708032,127.0114464
49,팔달구 정조로709번길 3 (매교동),37.2712708,127.0170964
50,팔달구 매산로96번길 1 (교동),37.2703786,127.0116292
51,"팔달구 향교로57번길 13 (매산로2가, 미래빌딩)",37.2701820,127.0067465
52,팔달구 향교로 55-1 (매산로2가),37.2697337,127.0069305
53,"팔달구 갓매산로19번길 28, 1층 (매산로2가)",37.2662794,127.0052798
54,"팔달구 권선로 477 (매산로2가, 대한대우아파트)",37.2649495,127.0054081
55,"팔달구 갓매산로 65, 1층(매산로2가) (매산로2가)",37.2696641,127.0036147
56,수원시 팔달구 향교로11-2. 1층,37.2679933,127.0024782
57,"팔달구 덕영대로 923-10,  1층106호 (매산로1가, 비젼포에버)",37.2659420,127.0016930
58,"경기 수원시 팔달구 덕영대로 923-10 (매산로1가, 비젼포에버)",37.2659420,127.0016930
59,팔달구 효원로60번길 30 (매산로3가),37.2677160,127.0076664
60,"팔달구 갓매산로71번길 21-6, 101호 (매산로2가)",37.2688204,127.0031407
61,팔달구 갓매산로 30 (매산로2가),37.2674301,127.0059568
62,팔달구 덕영대로 925 (매산로1가),37.2659552,127.0013926
63,팔달구 향교로1번길 8 (매산로1가),37.2680374,127.0013137
64,팔달구 덕영대로895번길 41 (매산로1가),37.2701485,127.0009804
65,"팔달구 향교로 52 (매산로2가, 대주파크빌)",37.2689811,127.0064568
66,"팔달구 세류로 117, 1층 (매산로3가)",37.2693709,127.0106087
